best_trial_nr,rmse,data_points,lr,total_layers,n_units_l0,n_units_l1,n_units_l2,n_units_l3,n_units_l4,n_units_l5,n_units_l6,n_units_l7,n_units_l8,n_units_l9,n_units_l10,n_units_l11
57,59.132102966308594,1000,0.008586053228472584,2,32,3360,,,,,,,,,,
41,48.912801862951135,1584,0.03466526509244931,2,160,2080,,,,,,,,,,
68,44.06891970901015,2511,0.04477872245864422,2,224,2080,,,,,,,,,,
53,42.107879965221834,3981,0.040279089835957675,2,192,3168,,,,,,,,,,
1,34.905696868896484,6309,0.01417857054535465,2,800,256,,,,,,,,,,
3,30.40997287912656,10000,0.011418952671243016,2,96,288,,,,,,,,,,
3,33.94000541897547,15848,0.036089397515928025,2,2080,512,,,,,,,,,,
2,16.832106608785118,25118,0.0023346082689039136,2,4000,3072,,,,,,,,,,
1,20.547856258853844,39810,0.0015135778282619964,2,736,4064,,,,,,,,,,
4,16.77464668942079,63095,0.016784566497273196,2,672,352,,,,,,,,,,
3,11.343651013866923,100000,0.0013218670814403068,2,224,2560,,,,,,,,,,
13,7.386692377453893,158489,0.002765041644088674,2,128,2368,,,,,,,,,,
0,6.963575255020311,251188,0.0018613262399490317,2,2528,3616,,,,,,,,,,
41,10.43310310528597,398107,0.01897435556513937,2,256,1216,,,,,,,,,,
64,8.585385492616355,630957,0.0036819066039871576,2,544,1024,,,,,,,,,,
0,43.689640045166016,1000,0.08794772509624219,3,448,992,1728,,,,,,,,,
5,36.947116163910415,1584,0.045477356379266136,3,128,3936,1504,,,,,,,,,
13,40.8000062359266,2511,0.04139172821211166,3,96,2720,1152,,,,,,,,,
22,31.342549639433816,3981,0.014345032395222572,3,32,4096,1568,,,,,,,,,
0,38.6970121540007,6309,0.015008831996466323,3,160,736,1344,,,,,,,,,
53,41.84501193601101,10000,0.042757155607297474,3,352,3552,1728,,,,,,,,,
24,22.598839605725892,15848,0.0156472932118783,3,96,1184,2016,,,,,,,,,
1,27.46808596963455,25118,0.007944901724608,3,3104,3968,928,,,,,,,,,
0,23.905930119932087,39810,0.022334042500669834,3,2304,2752,3232,,,,,,,,,
1,11.237448599632897,63095,0.0028893911909468727,3,1248,288,2528,,,,,,,,,
25,18.74554501924155,100000,0.047225376244394233,3,960,2464,160,,,,,,,,,
26,9.639577310994786,158489,0.00889389201109959,3,640,448,1792,,,,,,,,,
68,4.984975865012721,251188,0.002221351183396998,3,128,2496,2976,,,,,,,,,
3,4.758873539669092,398107,0.0009594455300477648,3,1696,3040,800,,,,,,,,,
12,6.062501795875511,630957,0.006792962652567936,3,128,4000,64,,,,,,,,,
81,47.99542999267578,1000,0.01365306302753222,4,32,1568,736,960,,,,,,,,
