best_trial_nr,rmse,data_points,lr,total_layers,n_units_l0,n_units_l1,n_units_l2,n_units_l3,n_units_l4,n_units_l5,n_units_l6,n_units_l7,n_units_l8,n_units_l9,n_units_l10,n_units_l11
65,50.18314743041992,1000,0.041063599979816776,2,224,2176,,,,,,,,,,
67,44.797735124413656,1873,0.044941932237844845,2,32,1024,,,,,,,,,,
52,42.650581949355875,3511,0.03425136883433987,2,288,2528,,,,,,,,,,
1,38.49134697286905,6579,0.00935811322654736,2,3680,3200,,,,,,,,,,
4,42.39056762502163,12328,0.021860267008323532,2,1248,896,,,,,,,,,,
2,29.095266895521714,23101,0.032863324690608244,2,800,1760,,,,,,,,,,
77,15.846598613726181,43287,0.0036095798109230877,2,32,736,,,,,,,,,,
18,15.905348255884615,81113,0.027129985484841537,2,160,1504,,,,,,,,,,
1,14.384775181413614,151991,0.02603068886598088,2,96,3360,,,,,,,,,,
54,7.476376690854548,284803,0.0039632659621868845,2,352,1792,,,,,,,,,,
5,21.762984474440007,533669,0.04749154156704598,2,3360,2752,,,,,,,,,,
39,41.50748825073242,1000,0.03696214667928578,3,32,1984,2432,,,,,,,,,
81,37.92764642562232,1873,0.015493584540819026,3,32,1056,2336,,,,,,,,,
51,34.593989046815594,3511,0.012713894688003782,3,32,3456,672,,,,,,,,,
0,39.55857177927524,6579,0.0843305720605254,3,3040,1984,2912,,,,,,,,,
85,40.7804635092176,12328,0.05131883888397501,3,32,1152,4096,,,,,,,,,
0,17.793103829650743,23101,0.005667613517262145,3,3520,576,1440,,,,,,,,,
1,23.14640637812213,43287,0.003339081647606962,3,3904,1952,2048,,,,,,,,,
13,9.621913676533769,81113,0.0032817130325882146,3,3584,1312,2976,,,,,,,,,
33,12.672390204902708,151991,0.01700630329581729,3,32,1280,960,,,,,,,,,
74,16.816544177551002,284803,0.038275308217937995,3,544,1632,672,,,,,,,,,
85,96.42198181152344,1000,0.00010696399596394658,4,3904,3872,1408,3264,,,,,,,,
81,42.840322667902164,1873,0.005857481496811842,4,64,1120,832,2752,,,,,,,,
42,32.17467153371701,3511,0.004023211402700725,4,320,1696,352,3808,,,,,,,,
21,21.11573630900933,6579,0.006784505557393769,4,32,1184,2784,352,,,,,,,,
11,24.111030392373852,12328,0.0036302617011526516,4,2592,3488,224,1248,,,,,,,,
79,24.75346419243483,23101,0.020389513801745154,4,32,1856,576,1184,,,,,,,,
85,37.33109180960808,43287,0.04593779177971514,4,32,256,256,1600,,,,,,,,
21,5.3450291090745194,81113,0.0009560212227636923,4,4000,288,192,2912,,,,,,,,
10,4.6886373395824235,151991,0.0011140501351676116,4,1472,1056,288,2816,,,,,,,,
